Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;4332281;GOLDMAN SACHS - PRUDENCIAL;51585;80714;b2;3;8;SAO PAULO;SP;06/2025;31.536.813;0;18.841.193;26.833.266;12.431.259;4.703.547;519.632;2;0
BANCO MERCANTIL DO BRASIL S.A.;17184037;MERCANTIL DO BRASIL - PRUDENCIAL;20152;80123;b1;2;8;BELO HORIZONTE;MG;06/2025;30.758.386;17.449.414;2.452.470;28.690.359;24.708.243;2.068.027;483.246;3;287
BANCO ORIGINAL S.A.;92894922;ORIGINAL - PRUDENCIAL;;80903;b1;2;8;SAO PAULO;SP;06/2025;30.583.907;12.875.298;10.395.059;29.228.741;27.160.526;1.355.167;11.929;2;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;;;;b3C;2;9;BELO HORIZONTE;MG;06/2025;29.066.698;197.565;7.226.492;27.531.602;607.752;1.535.096;41.329;0;0
CITIBANK N.A.;33042953;CITIBANK - PRUDENCIAL;30403;80192;b1;3;28;SAO PAULO;SP;06/2025;27.813.476;52.680;4.415.202;20.886.864;13.253.274;6.926.612;290.706;2;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;;81311;b4;1;5;PORTO ALEGRE;RS;06/2025;27.717.505;22.618.202;4.299.757;22.468.078;21.153.258;5.249.427;325.396;4;0
BANCO BOCOM BBM S.A.;15114366;BOCOM - PRUDENCIAL;52003;84624;b1;3;8;SALVADOR;BA;06/2025;26.966.398;12.618.003;7.577.517;25.470.723;21.005.877;1.495.676;169.370;4;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;;81407;b2;3;8;CURITIBA;PR;06/2025;26.637.588;24.040.451;32.723;23.699.439;21.623.067;2.938.149;21.667;2;0
TERRA INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;3751794;TERRA INVESTIMENTOS DTVM - PRUDENCIAL;52113;84514;n2;2;16;SAO PAULO;SP;06/2025;25.638.219;0;147.578;25.556.165;945.977;82.054;5.910;4;0
BANCO MORGAN STANLEY S.A.;2801938;MORGAN STANLEY - PRUDENCIAL;51413;80628;b1;3;8;SAO PAULO;SP;06/2025;24.816.763;0;11.648.874;20.553.112;9.690.629;4.263.651;151.394;2;0
BANCO DIGIO S.A.;27098060;BRADESCO - PRUDENCIAL;10045;80075;b2;2;8;OSASCO;SP;06/2025;24.665.222;18.244.523;1.876.064;24.471.927;21.952.056;193.295;-106.756;2;0
STONE SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.;53505601;STONE IP - PRUDENCIAL;;84686;n1;3;14;SAO PAULO;SP;06/2025;22.007.018;20.744.631;0;21.851.353;21.328.017;155.665;135.295;2;0
BANCO CSF S.A.;8357240;BCO CSF S.A. - PRUDENCIAL;;81610;b2;2;8;SAO PAULO;SP;06/2025;21.710.191;17.244.370;935.652;18.763.087;3.821.302;2.947.105;238.190;2;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;;;;b3C;2;9;FLORIANOPOLIS;SC;06/2025;21.073.572;193.887;4.393.888;19.685.295;628.119;1.388.277;74.111;0;0
SAFRA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;45437547;SAFRA - PRUDENCIAL;10083;80109;n1;2;14;SAO PAULO;SP;06/2025;20.916.564;10.749.015;1.479.448;20.543.436;19.969.635;373.128;140.262;2;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;;;;b3C;2;9;BELO HORIZONTE;MG;06/2025;20.831.944;1.025.059;5.253.473;19.951.343;0;880.601;59.250;0;0
PORTOSEG S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;4862600;PORTO SEGURO - PRUDENCIAL;51444;80642;n1;2;14;SAO PAULO;SP;06/2025;20.515.726;18.337.801;307.703;19.628.453;4.083.057;887.273;113.268;2;0
BANCO CRÉDIT AGRICOLE BRASIL S.A.;75647891;CREDIT AGRICOLE - PRUDENCIAL;;80491;b1;3;8;SAO PAULO;SP;06/2025;20.514.842;9.603.568;2.658.612;17.749.734;15.133.836;2.765.108;55.779;2;0
BANCO MERCEDES-BENZ DO BRASIL S.A.;60814191;MERCEDES-BENZ - PRUDENCIAL;51262;80563;b2;3;8;SAO BERNARDO DO CAMPO;SP;06/2025;19.552.295;17.893.140;276.823;16.890.693;16.087.351;2.661.602;122.309;2;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;BCO DO EST. DO PA S.A. - PRUDENCIAL;;81586;b1;1;8;BELEM;PA;06/2025;19.514.535;14.776.502;1.823.131;17.278.860;16.573.412;2.235.675;125.630;165;34
CLOUDWALK INSTITUIÇÃO DE PAGAMENTO E SERVICOS LTDA;18189547;CLOUDWALK IP - PRUDENCIAL;;86581;n4;2;41;SAO PAULO;SP;06/2025;19.422.981;0;392.734;18.153.430;1.324.241;1.269.552;257.923;1;0
LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;2206577;ITAU - PRUDENCIAL;10069;80099;n1;2;14;SAO PAULO;SP;06/2025;18.939.115;17.142.653;23.539;17.151.996;3.382.610;1.787.119;178.210;2;0
BANCO FIBRA S.A.;58616418;BCO FIBRA S.A. - PRUDENCIAL;;81483;b1;2;8;SAO PAULO;SP;06/2025;18.851.750;6.176.423;7.583.857;17.664.050;16.448.418;1.187.699;41.996;2;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;SCOTIABANK BRASIL - PRUDENCIAL;52230;81452;b1;3;8;SAO PAULO;SP;06/2025;18.394.332;1.340.315;4.561.098;15.156.195;13.119.564;3.238.138;117.505;2;0
