,conglomerado,cidade,data_base,indice_basileia
61501,COOPERATIVA DE CRÉDITO RURAL DE GUAPÉ LTDA - SICOOB CREDIGUAPÉ,GUAPE,2007-03-01,38.25
61502,COOPERATIVA DE CRÉDITO RURAL DO ALTO PAJEÚ - CREDIPAJEÚ LTDA,SAO JOSE DO EGITO,2007-03-01,28.64
61503,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS  PROFISSIONAIS DE SAÚDE DE GOIÂNIA E REGIÃO LTDA.,GOIANIA,2007-03-01,52.49
61504,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE PRANCHITA - CRESOL PRANCHITA,PRANCHITA,2007-03-01,25.35
61505,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA USAGRO,JABOTICABAL,2007-03-01,117.46
61506,"COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DAS EMPRESAS PRESTADORAS DE SERVICOS DE AGUAS, ESGOTOS E SANEAMENTO DO ESTADO DO RIO DE JANEIRO LTDA",RIO DE JANEIRO,2007-03-01,86.8
61507,COOPERATIVA DE CRÉDITO RURAL CONQUISTA LIMITADA - CREDIC,VITORIA DA CONQUISTA,2007-03-01,-653.36
61508,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DA SAÚDE DE POUSO ALEGRE LTDA.,POUSO ALEGRE,2007-03-01,26.3
61509,COOPERATIVA DE CRÉDITO MÚTUO DOS AGENTES FISCAIS DE RENDAS DO ESTADO DE SÃO PAULO - CREDIFISCO,SAO PAULO,2007-03-01,106.47
61510,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA OWENS CORNING FIBERGLAS AMÉRICA DO SUL,RIO CLARO,2007-03-01,89.45
61511,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E DEMAIS PROFISSIONAIS DA  SAUDE DE CACHOEIRA DO SUL LTDA,CACHOEIRA DO SUL,2007-03-01,38.43
61512,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE SARANDI-CRESOL SARANDI,SARANDI,2007-03-01,18.63
61513,COOPERATIVA DE CRÉDITO RURAL DE ALTEROSA LTDA - SICOOB COOPEROSA,ALTEROSA,2007-03-01,42.23
61514,COOPERATIVA DE CRÉDITO MÚTUO DOS EMPRESÁRIOS DE FRANCA E REGIÃO - SICOOB CRED-ACIF,FRANCA,2007-03-01,41.92
61515,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES E EMPREGADOS DOS HOSPITAIS E CLÍNICAS DA ZONA DA MATA LTDA - SANTACASACRED,JUIZ DE FORA,2007-03-01,58.87
61516,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COLABORADORES DA UNIÃO BRASILEIRA DE EDUCAÇÃO E ENSINO & UNIÃO NORTE BRASILEIRA DE EDUCAÇÃO E CULTURA LTDA.,BELO HORIZONTE,2007-03-01,86.15
61517,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO BOMPREÇO BAHIA - SICOOB COOPERBOM,SALVADOR,2007-03-01,89.72
61518,CRETOVALE-COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS TRABALHADORES DA CIA. VALE DO RIO DOCE,VITORIA,2007-03-01,32.01
61519,CENTRAL DAS COOPERATIVAS DE CREDITO MUTUO DO RIO GRANDE DO SUL,PORTO ALEGRE,2007-03-01,28.65
61520,COOPERATIVA DE CREDITO DOS EMPRESARIOS DO SECOVI-GO LTDA,GOIANIA,2007-03-01,24.55
61521,COOPERATIVA DE CRÉDITO DOS EMPREGADOS DO GRUPO AKZO NOBEL BRASIL - COOP AKZONOBEL,MAUA,2007-03-01,112.09
61522,COOPERATIVA DE CRÉDITO RURAL DO PLANALTO SUL - SICOOB/SC - CREDISSERRANA,LAGES,2007-03-01,15.53
61523,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DAS EMPRESAS MELHORAMENTOS DE SÃO PAULO,SAO PAULO,2007-03-01,129.92
61524,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO FLEURY,SAO PAULO,2007-03-01,133.99
61525,DILLON S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,RIO DE JANEIRO,2007-03-01,34.55
61526,"COOPERATIVA DE CRÉDITO DOS PEQUENOS EMPRESÁRIOS, MICROEMPRESÁRIOS E MICROEMPREENDEDORES DO NORTE DE MINAS LTDA - SICOOB CREDINOSSO",MONTES CLAROS,2007-03-01,14.49
61527,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE XAXIM-CRESOL XAXIM,XAXIM,2007-03-01,19.51
61528,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE SALGADO FILHO - CRESOL SALGADO FILHO,SALGADO FILHO,2007-03-01,35.23
61529,COOPERATIVA DE CREDITO RURAL ITABATÃ LTDA - SICOOB ITABATÃ.,MUCURI,2007-03-01,49.76
61530,COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO IESA,ARARAQUARA,2007-03-01,107.77
61531,"CREDFAZ   COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS DO PODER EXECUTIVO DO ESTADO DO CEARÁ, NA REGIÃO METROPOLITANA DE FORTALEZA LTDA.",FORTALEZA,2007-03-01,48.0
61532,PILLA - CORRETORA DE VALORES MOBILIARIOS E CAMBIO LTDA,PORTO ALEGRE,2007-03-01,175.98
61533,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA COMIGO,RIO VERDE,2007-03-01,82.13
61534,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA TICKET SERVIÇOS COMÉRCIO E ADMINISTRAÇÃO,SAO PAULO,2007-03-01,137.86
61535,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES ESTATUTARIOS DA ADMINISTRACAO DIRETA DO ESTADO DO ESPIRITO SANTO - COOPFISCO,VITORIA,2007-03-01,77.35
61536,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS MUNICIPAIS EM JOÃO MONLEVADE LTDA.,JOAO MONLEVADE,2007-03-01,100.5
61537,PIONEER CORRETORA DE CAMBIO LTDA,SAO PAULO,2007-03-01,58.96
61538,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DOS SUPERMERCADOS RUSSI,JUNDIAI,2007-03-01,94.94
61539,COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS EM INSTITUIÇÕES DO SISTEMA FINANCEIRO NAS REGIÕES DE SÃO PAULO E CAMPINAS (SP) - CREDISCOOP,SAO PAULO,2007-03-01,50.6
61540,COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS DOS CAMPOS GERAIS - SICOOB CAMPOS GERAIS,PONTA GROSSA,2007-03-01,27.46
61541,COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO MINISTÉRIO DA SAÚDE EM MACEIÓ - SAUDECRED,MACEIO,2007-03-01,20.93
61542,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE DONA EMMA - CRESOL DONA EMMA,DONA EMMA,2007-03-01,23.02
61543,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS EMPRESAS METALÚRGICAS DE OSASCO E REGIÃO - CREDMETAL,OSASCO,2007-03-01,84.11
61544,COOPERATIVA DE CRÉDITO RURAL DE RIO BRANCO LTDA.,RIO BRANCO,2007-03-01,46.77
61545,COOPERATIVA DE CRÉDITO DOS FUNCIONÁRIOS DA ROLAMENTOS FAG - COOPERFAG,SAO PAULO,2007-03-01,142.19
61546,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA MORLAN - CREDMORLAN,ORLANDIA,2007-03-01,97.23
61547,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA PRODAM/SP - CREDIPRODAM,SAO PAULO,2007-03-01,145.8
61548,COOPERATIVA DE CRÉDITO RURAL DO SERIDÓ,CURRAIS NOVOS,2007-03-01,34.25
61549,FAIR CORRETORA DE CÂMBIO S/A,SAO PAULO,2007-03-01,53.24
61550,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COMERCIANTES DE CONFECÇÕES DE VITÓRIA DA CONQUISTA LTDA.,VITORIA DA CONQUISTA,2007-03-01,83.81
61551,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA RECKITT BENCKISER,SAO PAULO,2007-03-01,99.03
61552,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DA PERPART E IPA - COOPEMATER,RECIFE,2007-03-01,95.53
61553,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE VIRMOND - CRESOL VIRMOND,VIRMOND,2007-03-01,26.09
61554,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COMERCIANTES DE CONFECÇÕES DE  ABAETÉ LTDA,ABAETE,2007-03-01,34.72
61555,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COLABORADORES DA VALE S.A. - LTDA. - SICOOB CREDIVALE,ITABIRA,2007-03-01,118.89
61556,COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DA PILKINGTON BRASIL,CACAPAVA,2007-03-01,106.12
61557,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO SESI, SENAI E CIERGS NO RIO GRANDE DO SUL LTDA - CRESUL",PORTO ALEGRE,2007-03-01,127.97
61558,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA SECRETARIA DE SAÚDE E DOS TRABALHADORES EM ENSINO DO DF LTDA. - SICOOB CREDIDF,BRASILIA,2007-03-01,101.26
61559,COOPERATIVA DE CRÉDITO MÚTUO DOS EMPRESÁRIOS DO SETOR INDUSTRIAL ASSOCIADOS AO CIESP DA ALTA NOROESTE DE SÃO PAULO - SICREDI CIESP ALTA NOROESTE,BIRIGUI,2007-03-01,35.14
61560,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES MIN. PLANEJAMENTO, ORÇAMENTO E GESTÃO,EDUCAÇÃO,DESENV,IND E COM EXT, INT.NACIONAL,COMUNIC,CIDADES,DESENV. SOCIAL E COMBATE À FOME - COOPERPLAN",BRASILIA,2007-03-01,91.04
61561,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA ASSEMBLÉIA LEGISLATIVA DO ESTADO DA PARAÍBA LTDA. -  COOPERLEGIS,JOAO PESSOA,2007-03-01,90.31
61562,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COMERCIANTES CONFECÇÕES DE SÃO SEBASTIÃO DO PARAÍSO LTDA,SAO SEBASTIAO DO PARAISO,2007-03-01,27.87
61563,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE FORMOSA DO SUL-CRESOL FORMOSA,FORMOSA DO SUL,2007-03-01,16.74
61564,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO GERDAU - AÇOS FINOS PIRATINI,CHARQUEADAS,2007-03-01,111.76
61565,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DO PODER EXECUTIVO FEDERAL DO ESTADO DE RONDÔNIA - CREDIFORTE,PORTO VELHO,2007-03-01,75.21
61566,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE ITAPERUÇU - CRESOL ITAPERUÇU,ITAPERUCU,2007-03-01,41.22
61567,SAGRES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,SAO PAULO,2007-03-01,87.92
61568,COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA SADIA - SICREDI COOFATO,TOLEDO,2007-03-01,132.26
61569,AGENCIA DE FOMENTO DO ESTADO DE RORAIMA S.A. - AFERR,BOA VISTA,2007-03-01,189.84
61570,COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS DE TELÊMACO BORBA - SICOOB CENTRO LESTE,TELEMACO BORBA,2007-03-01,23.18
61571,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE SAO JORGE D'OESTE - CRESOL SAO JORGE D'OESTE,SAO JORGE D'OESTE,2007-03-01,33.66
61572,"COOPERATIVA DE CRÉDITO DOS PEQUENOS EMPRESÁRIOS, MICROEMPRESÁRIOS E MICROEMPREENDEDORES DE MARECHAL CÂNDIDO RONDON - SICOOB MARECHAL",MARECHAL CANDIDO RONDON,2007-03-01,23.74
61573,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA ACUMENT BRASIL,SAO PAULO,2007-03-01,89.32
61574,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE MANGUEIRINHA - CRESOL MANGUEIRINHA,MANGUEIRINHA,2007-03-01,36.23
61575,COOPERATIVA DE CRÉDITO MÚTUO DOS POLICIAIS FEDERAIS EM MINAS GERAIS - FEDERALCRED,BELO HORIZONTE,2007-03-01,31.69
61576,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DE INSTITUICOES FINANCEIRAS PUBLICAS NO ESTADO DO ESPIRITO SANTO - CREDBRASIL-ES,VITORIA,2007-03-01,47.1
61577,COOPERATIVA DE CRÉDITO RURAL AGRO-PECUÁRIA DO SUDOESTE PAULISTA,SOROCABA,2007-03-01,23.19
61578,COOPERATIVA DE CRÉDITO RURAL DE FEIRA DE SANTANA,FEIRA DE SANTANA,2007-03-01,-111.06
61579,HOYA CORRETORA DE VALORES E CAMBIO LTDA,FORTALEZA,2007-03-01,117.22
61580,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COMERCIANTES DE CONFECÇÕES DO VESTUÁRIO DE MONTE SIÃO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CREDMALHAS,MONTE SIAO,2007-03-01,39.81
61581,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COMERCIANTES DE PEÇAS E SERVIÇOS PARA VEÍCULOS DE TEIXEIRA DE FREITAS - SICOOB COMÉRCIO,TEIXEIRA DE FREITAS,2007-03-01,65.78
61582,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES  MUNICIPAIS DE VITÓRIA DA CONQUISTA LTDA,VITORIA DA CONQUISTA,2007-03-01,65.07
61583,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONÁRIOS DOS ESTABELECIMENTOS DE ENSINO PARTICULARES DE CUIABA E REGIÃO E DA SANTA CASA DE MISERICORDIA DE CUIABÁ E EMPRESAS DO COMPLEXO,CUIABA,2007-03-01,34.56
61584,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE PORTO XAVIER-CRESOL PORTO XAVIER,PORTO XAVIER,2007-03-01,22.96
61585,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE TRES BARRAS DO PARANA - CRESOL TRES BARRAS DO PARANA,TRES BARRAS DO PARANA,2007-03-01,32.69
61586,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS LOJISTAS DO VESTUARIO E CONFECÇÕES DE RONDONOPOLIS - CREDLOJA,RONDONOPOLIS,2007-03-01,23.43
61587,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS PÚBLICOS MUNICIPAIS DE ITAPIRA,ITAPIRA,2007-03-01,79.49
61588,UNICRED VALE JAGUARIBE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE DA REGIÃO VALE DO  JAGUARIBE LTDA.,LIMOEIRO DO NORTE,2007-03-01,42.2
61589,LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.,SANTOS,2007-03-01,90.26
61590,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES MUNICIPAIS DE POÇOS DE CALDAS LTDA. - COOPOÇOS,POCOS DE CALDAS,2007-03-01,44.53
61591,OLIVEIRA FRANCO SOCIEDADE CORRETORA DE VALORES E CAMBIO LTDA,CURITIBA,2007-03-01,101.55
61592,GUITTA CORRETORA DE CAMBIO LTDA.,SAO PAULO,2007-03-01,101.38
61593,CENTRAL DAS COOPERATIVAS DE CRÉDITO DO NORDESTE - SICOOB CENTRAL NE,JOAO PESSOA,2007-03-01,66.6
61594,COOPERATIVA DE CREDITO RURAL COM INTERAÇÃO SOLIDARIA DE SANTA ROSA DE LIMA-CRESOL SANTA ROSA DE LIMA,SANTA ROSA DE LIMA,2007-03-01,15.87
61595,COOPERATIVA DE CREDITO MUTUO DOS DESPACHANTES DE TRANSITO DE SANTA CATARINA,FLORIANOPOLIS,2007-03-01,89.92
61596,"COOPERATIVA DE CRÉDITO MÚTUO DOS COMERCIANTES DE VEÍCULOS, PEÇAS E ACESSÓRIOS PARA VEÍCULOS DE CURITIBA E REGIÃO - SICREDI SINCOCRED",CURITIBA,2007-03-01,18.4
61597,COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS DE GUARAPUAVA - SICOOB GUARAPUAVA,GUARAPUAVA,2007-03-01,17.32
61598,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS DO ESTADO DE SÃO PAULO - CREDIPAULISTA,SAO PAULO,2007-03-01,33.47
61599,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE CHAPECO-CRESOL CHAPECÓ,CHAPECO,2007-03-01,22.19
61600,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO JAL LTDA.,SAO JOAO DE MERITI,2007-03-01,109.89
61601,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE PINHAO - CRESOL PINHAO,PINHAO,2007-03-01,26.32
61602,COOPERATIVA DE CRÉDITO DOS EMPREGADOS DO SISTEMA FIESC,FLORIANOPOLIS,2007-03-01,25.64
61603,COOPERATIVA DE CRÉDITO RURAL GRAPIÚNA LTDA,ITABUNA,2007-03-01,63.43
61604,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DE NIVEL SUPERIOR DA AREA DE SAUDE DE CACHOEIRO DE ITAPEMIRIM - UNICRED SUL CAPIXABA,CACHOEIRO DE ITAPEMIRIM,2007-03-01,23.32
61605,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COMERCIANTES DE ARCOS LTDA. - SICOOB ARCOMCREDI,ARCOS,2007-03-01,38.29
61606,COOPERATIVA DE CRÉDITO MÚTUO DOS MÉDICOS DAS MICROREGIÕES DE GOIÂNIA E ANÁPOLIS LTDA,GOIANIA,2007-03-01,79.0
61607,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA TAKATA-PETRI,JUNDIAI,2007-03-01,99.46
61608,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE PEROLA D'OESTE - CRESOL PEROLA D'OESTE,PEROLA D'OESTE,2007-03-01,25.19
61609,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO COLORADO,GUAIRA,2007-03-01,89.88
61610,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA CEMIG LTDA. - SICOOB CECREMEC,BELO HORIZONTE,2007-03-01,18.72
61611,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES DO PODER JUDICIARIO DO RIO GRANDE DO SUL-SICREDIJUSTIÇA,PORTO ALEGRE,2007-03-01,30.83
61612,"UNICRED CABO FRIO, COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DE SAÚDE DE CABO FRIO LTDA.",CABO FRIO,2007-03-01,60.8
61613,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA AGROVALE,QUIRINOPOLIS,2007-03-01,73.82
61614,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA GERDAU S.A. - UNIDADE MOGI DAS CRUZES,MOGI DAS CRUZES,2007-03-01,102.58
61615,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES DA COMLURB LTDA,RIO DE JANEIRO,2007-03-01,91.35
61616,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DA ALIANÇA DOS MÉDICOS E DEMAIS PROFISSIONAIS DE NÍVEL SUPERIOR DA ÁREA DE SAÚDE DO VALE DO RIBEIRA - SICREDI VALE DO RIBEIRA,REGISTRO,2007-03-01,14.25
61617,COOPERATIVA DE CRÉDITO RURAL DOS PLANTADORES DE CANA DA REGIÃO DE IGARAPAVA,IGARAPAVA,2007-03-01,118.42
61618,COOPERATIVA DE CRÉDITO RURAL DE PIRACANJUBA LTDA,PIRACANJUBA,2007-03-01,89.55
61619,COOPERATIVA DE ECONOMIA E CRÉDITO DOS EMPREGADOS DA PETROBRÁS - PETROCRED,SAO PAULO,2007-03-01,35.26
61620,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS DO PODER EXECUTIVO FEDERAL NO ESTADO DO ESPÍRITO SANTO - COOPSEFES,VITORIA,2007-03-01,89.79
61621,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE CANDOI - CRESOL CANDOI,CANDOI,2007-03-01,29.75
61622,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COMERCIANTES DE FORMIGA LTDA.,FORMIGA,2007-03-01,27.84
61623,COOPERATIVA DE CRÉDITO RURAL HORIZONTES NOVOS DE IJUÍ - CREHNOR NOROESTE,IJUI,2007-03-01,10.66
61624,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DO CREA DO ESTADO DE SANTA CATARINA,FLORIANOPOLIS,2007-03-01,30.88
61625,"FINAMBRÁS - CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA.",SAO PAULO,2007-03-01,99.33
61626,DEBONI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,CURITIBA,2007-03-01,83.69
61627,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DO GRUPO VONPAR LTDA,PORTO ALEGRE,2007-03-01,123.1
61628,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DE NÍVEL SUPERIOR DA SAÚDE DE MONTES CLAROS LTDA - UNICRED NORTE DE MINAS,MONTES CLAROS,2007-03-01,12.77
61629,COOPERATIVA DE CRÉDITO DOS FORNECEDORES DE CANA DO CENTRO DO ESTADO DE SÃO PAULO,ARARAQUARA,2007-03-01,147.52
61630,COOPERATIVA DE CRÉDITO RURAL HORIZONTES NOVOS DE VENÂNCIO AIRES - CREHNOR CENTRO,VENANCIO AIRES,2007-03-01,38.82
61631,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE CENTENARIO - CRESOL CENTENARIO,AUREA,2007-03-01,20.26
61632,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES EM SEGURANCA PÚBLICA DO ESTADO DO ACRE - SICOOB CREDMAC,RIO BRANCO,2007-03-01,60.27
61633,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS  PROFISSIONAIS DA SAÚDE DE BOA VISTA LTDA,BOA VISTA,2007-03-01,30.93
61634,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE AMPERE - CRESOL AMPERE,AMPERE,2007-03-01,31.18
61635,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA  SECRETARIA DA SEGURANCA PÚBLICA DO ESTADO DO RIO GRANDE DO NORTE,NATAL,2007-03-01,71.86
61636,COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS DE JI-PARANÁ/RO - EMPRECRED,JI-PARANA,2007-03-01,51.31
61637,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE CORONEL MARTINS-CRESOL PEDRA BRANCA,CORONEL MARTINS,2007-03-01,25.06
61638,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA JAGUARUNA-CRESOL JAGUARUNA,JAGUARUNA,2007-03-01,18.53
61639,UNITAS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,SAO PAULO,2007-03-01,83.11
61640,RELIANCE - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,SAO PAULO,2007-03-01,59.1
61641,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO HOSPITAL VERA CRUZ E VERA CRUZ ASSOCIAÇÃO DE SAÚDE,CAMPINAS,2007-03-01,132.21
61642,OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIARIOS S.A.,RIO DE JANEIRO,2007-03-01,92.43
61643,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS EMPRESAS DA BELGO BEKAERT ARAMES DO ESTADO DE SÃO PAULO,OSASCO,2007-03-01,79.26
61644,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO COMOLATTI - SÃO PAULO,SAO PAULO,2007-03-01,103.2
61645,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE PARKER HANNIFIN,JACAREI,2007-03-01,122.62
61646,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA PREFEITURA MUNICIPAL DE ORLÂNDIA - CRED SERV,ORLANDIA,2007-03-01,101.0
61647,MAPFRE DISTRIBUIDORA  DE TÍTULOS E VALORES MOBILIÁRIOS S/A,SAO PAULO,2007-03-01,153.1
61648,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS  COMERCIANTES DE CONFECÇÕES DO VESTUÁRIO DE BELO HORIZONTE, REGIÃO METROPOLITANA E CIDADES POLO LTDA.",BELO HORIZONTE,2007-03-01,15.75
61649,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA COPLANA - CREDICOPLANA,GUARIBA,2007-03-01,83.82
61650,COOPERATIVA DE CREDITO MUTUO DOS CIRURGIÕES DENTISTAS E DEMAIS PROFISSIONAIS DA AREA DE SAUDE DO OESTE PAULISTA - ODONTOCRED,PRESIDENTE PRUDENTE,2007-03-01,23.52
61651,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COMERCIANTES CONFECÇÕES GUAXUPÉ LTDA.,GUAXUPE,2007-03-01,64.73
61652,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO SERVIDORES PÚBLICOS ATIVOS, INATIVOS E PENSIONISTAS DA ADMINISTRAÇÃO DIRETA, INDIRETA E ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO GRANDE SUL - COOPSERGS",PORTO ALEGRE,2007-03-01,18.03
