,conglomerado,cidade,data_base,indice_basileia
95,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UNIESTADOS",ERECHIM,2023-03-01,16.57
96,APE POUPEX - PRUDENCIAL,BRASILIA,2023-03-01,34.64
97,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS E GRANDE CURITIBA - SICREDI CAMPOS GERAIS E GRANDE CURITIBA PR/SP",PONTA GROSSA,2023-03-01,15.93
98,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.,GOIANIA,2023-03-01,19.15
99,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PLANALTO - SICREDI PLANALTO RS/MG",CRUZ ALTA,2023-03-01,22.54
100,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO - SICREDI UNIAO RS/ES",CERRO LARGO,2023-03-01,16.14
101,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL - SICREDI CENTRO-SUL MS",DOURADOS,2023-03-01,23.53
102,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DOS ESTADOS DE MATO GROSSO DO SUL, TOCANTINS E OESTE DA BAHIA - SICREDI UNIÃO MS/TO",CAMPO GRANDE,2023-03-01,16.07
103,PEFISA S.A. - PRUDENCIAL,SAO PAULO,2023-03-01,10.12
104,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO,RIO VERDE,2023-03-01,32.94
105,BANCO DIGIMAIS - PRUDENCIAL,SAO PAULO,2023-03-01,15.85
106,COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS,BELO HORIZONTE,2023-03-01,14.38
107,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SORRISO - SICREDI CELEIRO MT/RR",SORRISO,2023-03-01,21.9
108,SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.,BELO HORIZONTE,2023-03-01,22.68
109,BR PARTNERS - PRUDENCIAL,SAO PAULO,2023-03-01,19.93
110,FACTA S.A. CFI - PRUDENCIAL,PORTO ALEGRE,2023-03-01,15.23
111,INTESA SANPAOLO BRASIL S.A. - PRUDENCIAL,SAO PAULO,2023-03-01,31.99
112,COOPERATIVA DE CRÉDITO LESTE CAPIXABA - SICOOB LESTE CAPIXABA,LINHARES,2023-03-01,28.3
113,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO CERRADO - SICREDI VALE DO CERRADO",CAMPO VERDE,2023-03-01,16.06
114,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CELEIRO CENTRO OESTE - SICREDI CELEIRO CENTRO OESTE",SAO GABRIEL DO OESTE,2023-03-01,16.6
115,BMW - PRUDENCIAL,SAO PAULO,2023-03-01,17.48
116,COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS,FLORIANOPOLIS,2023-03-01,14.76
117,CREDICOAMO CREDITO RURAL COOPERATIVA,CAMPO MOURAO,2023-03-01,39.71
118,AF DESENVOLVE SP S.A. - PRUDENCIAL,SAO PAULO,2023-03-01,105.58
119,BCO TRIANGULO S.A. - PRUDENCIAL,UBERLANDIA,2023-03-01,11.63
120,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIVALES - SICREDI UNIVALES MT/RO",JUINA,2023-03-01,19.87
121,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CONEXÃO - SICREDI CONEXÃO",RODEIO BONITO,2023-03-01,17.42
122,COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.,BRASILIA,2023-03-01,28.51
123,RANDON - PRUDENCIAL,CAXIAS DO SUL,2023-03-01,16.91
124,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO FRONTEIRAS DO PARANÁ, SANTA CATARINA E SÃO PAULO - SICREDI FRONTEIRAS PR/SC/SP",CAPANEMA,2023-03-01,15.16
