Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANCO DO NORDESTE DO BRASIL S.A.;7237373;BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;;81593;b1;1;8;FORTALEZA;CE;03/2023;740.009;0;1.444.985;-44.925;10.985;5.106;2.156.160;-486.922;-708.524;0;0;-110.360;-1.305.805;850.355;699.555;30.642;-642.394;-445.606;-128.423;0;1.007.883;-532.353;-10.696;839.659;2.475;842.134;-309.210;-30.371;502.553;0
XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;2332886;XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;52120;82475;n2;2;15;RIO DE JANEIRO;RJ;03/2023;0;0;2.258.774;-247.959;0;6.593;2.017.407;-1.405.364;-11.282;0;-32.136;-6.788;-1.455.570;561.838;674.939;267.364;-319.586;-1.006.314;-110.677;-8.511;254.476;-71.456;-319.766;242.072;1.586;243.658;13.590;-236.053;21.195;0
BANCO DAYCOVAL S.A.;62232889;BCO DAYCOVAL S.A - PRUDENCIAL;51987;81744;b1;2;8;SAO PAULO;SP;03/2023;1.583.784;0;661.623;-411.115;52.435;1.086;1.887.814;-1.439.890;-12.542;0;0;-237.012;-1.689.444;198.369;57.628;41.394;-176.490;-263.885;-54.670;43.081;636.546;-132.380;151.223;349.593;-2.884;346.709;-61.539;-54.128;231.041;0
BANCO ITAÚ CONSIGNADO S.A.;33885724;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;03/2023;1.785.164;0;23.371;0;0;0;1.808.535;-1.026.800;0;0;0;-313.512;-1.340.312;468.223;22;0;-22.199;-136.206;-36.166;237;46.569;-473.721;-621.464;-153.241;-39;-153.280;73.117;-10.610;-90.773;0
SAFRA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;45437547;SAFRA - PRUDENCIAL;10083;80109;n1;2;14;SAO PAULO;SP;03/2023;925.185;0;662.861;-50.424;0;0;1.537.622;-1.196.361;0;0;0;-202.658;-1.399.020;138.603;11.571;43.454;-41.261;-135.365;-22.213;0;25.766;-139.652;-257.700;-119.098;0;-119.098;65.874;0;-53.224;0
BRB - BANCO DE BRASILIA S.A.;208;BRB - PRUDENCIAL;31976;80288;b1;1;8;BRASILIA;DF;03/2023;1.209.501;0;278.078;0;321;12.685;1.500.585;-972.199;-6.309;0;0;-145.272;-1.123.781;376.804;30.986;41.093;-284.887;-213.822;-31.511;4.992;53.821;-74.046;-473.374;-96.571;-1.239;-97.810;54.470;0;-43.340;0
BANCO VOLKSWAGEN S.A.;59109165;VOLKSWAGEN - PRUDENCIAL;;80202;b2;2;8;SAO PAULO;SP;03/2023;1.329.293;24.895;39.577;54.989;0;0;1.448.755;-957.719;-202.217;-23.461;0;-191.062;-1.374.459;74.295;0;35.913;-1.525;-81.636;-32.249;23.310;225.146;-215.884;-46.925;27.371;-12.365;15.005;31.307;0;46.313;0
BANCO INTER S.A.;416968;INTER - PRUDENCIAL;51884;80996;b1;2;8;BELO HORIZONTE;MG;03/2023;883.497;0;456.918;518;11.226;0;1.352.159;-664.800;-945;0;0;-353.606;-1.019.351;332.808;185.942;9.828;-142.944;-375.398;-46.302;47.480;47.032;-109.791;-384.153;-51.344;-6.519;-57.864;48.127;0;-9.736;0
BANCO ABC BRASIL S.A.;28195667;ABC-BRASIL - PRUDENCIAL;41856;80312;b1;2;8;SAO PAULO;SP;03/2023;603.894;0;667.077;72.398;0;0;1.343.369;-931.013;-173.693;0;-91.582;-115.512;-1.311.800;31.569;69.893;8.157;-108.038;-72.534;-24.961;9.818;338.094;-37.277;183.151;214.720;433;215.153;34.661;-59.791;190.023;0
BANCO C6 S.A.;31872495;BANCO C6 - PRUDENCIAL;52072;84844;b1;2;8;SAO PAULO;SP;03/2023;576.931;0;733.761;-179.756;92.924;0;1.223.860;-875.356;-9.496;0;0;-539.856;-1.424.708;-200.848;209.055;31.548;-212.535;-312.252;-18.062;-35.498;69.671;-171.804;-439.877;-640.725;-165;-640.891;261.671;-45.755;-424.974;0
